ingredient,variety,certification,emissions,category
kale,fresh,conventional,0.35,Vegetables
cherry tomatoes,fresh,conventional,0.91,Fruits
kohlrabi,fresh,conventional,0.43,Vegetables
acorn squash,fresh,conventional,0.21,Vegetables
banana squash,fresh,conventional,0.21,Fruits
butternut squash,fresh,conventional,0.21,Vegetables
delicata squash,fresh,conventional,0.21,Vegetables
gem squash,fresh,conventional,0.21,Vegetables
hubbard squash,fresh,conventional,0.21,Vegetables
pumpkin,fresh,conventional,0.21,Fruits
spaghetti squash,fresh,conventional,0.21,Vegetables
chives,fresh,conventional,0.21,Vegetables
leek,fresh,conventional,0.21,Vegetables
brussel sprouts,fresh,conventional,0.28,Vegetables
arugula,fresh,conventional,0.27,Vegetables
mixed salad,fresh,conventional,0.28,Dairy Foods
sweet potato,fresh,conventional,0.41,Vegetables
savoy,fresh,conventional,0.3,Vegetables
wholegrain bread bun,fresh,conventional,0.6,"Grains, Beans and Nuts"
wheat bread bun,fresh,conventional,0.62,"Grains, Beans and Nuts"
bulgur,fresh,conventional,0.52,"Grains, Beans and Nuts"
couscous,fresh,conventional,0.44,"Grains, Beans and Nuts"
millet,fresh,conventional,0.52,Fish and Seafood
crispbread,fresh,conventional,0.53,Dairy Foods
egg noodles,fresh,conventional,0.46,Vegetables
lasagna noodles,fresh,conventional,0.46,Dairy Foods
linguine,fresh,conventional,0.46,Fish and Seafood
pasta,fresh,conventional,0.46,Vegetables
wholewheat noodles,fresh,conventional,0.44,"Grains, Beans and Nuts"
toast,fresh,conventional,0.48,Meat and Poultry
wholegrain toast,fresh,conventional,0.46,"Grains, Beans and Nuts"
wholegrain bread,fresh,conventional,0.59,"Grains, Beans and Nuts"
bread baguette,fresh,conventional,0.61,Dairy Foods
wheat bread,fresh,conventional,0.61,Dairy Foods
all-purpose flour,fresh,conventional,0.34,"Grains, Beans and Nuts"
panko,fresh,conventional,0.34,Fish and Seafood
wholewheat flour,fresh,conventional,0.34,"Grains, Beans and Nuts"
walnuts,fresh,conventional,0.95,"Grains, Beans and Nuts"
brown lentils,fresh,conventional,0.61,Vegetables
green lentils,fresh,conventional,0.61,Vegetables
lentils,fresh,conventional,0.61,Vegetables
cream cheese,fresh,conventional,5.65,Dairy Foods
philadelphia cream cheese,fresh,conventional,5.65,Dairy Foods
ricotta,fresh,conventional,5.65,Dairy Foods
low-fat curd cheese,fresh,conventional,2.52,Dairy Foods
mozzarella,fresh,conventional,4.34,Dairy Foods
curd cheese,fresh,conventional,3.4,Dairy Foods
whipping cream,fresh,conventional,4.31,Dairy Foods
schmand,fresh,conventional,3.66,Fruits
blackberries,fresh,conventional,0.69,Fruits
fig,fresh,conventional,0.89,Fish and Seafood
